g_force_x, g_force_y, g_force_z
-0.14790496, 0.2589176, -0.4080726
-0.109579556, 0.23745294, -0.41319484
-0.04320374, 0.2274523, -0.40197468
-0.03222749, 0.22842804, -0.3951145
-0.078358226, 0.21769564, -0.45173368
-0.11814714, 0.19498089, -0.5388729
-0.10201814, 0.17595543, -0.54399514
-0.05905832, 0.17400405, -0.5293601
-0.04783816, 0.17205276, -0.5090846
-0.11714097, 0.19327351, -0.50079143
-0.1527833, 0.21745174, -0.5076211
-0.08787098, 0.21379296, -0.4798146
-0.0071040713, 0.20867074, -0.4637161
-0.018568156, 0.2054998, -0.43978173
-0.0968959, 0.21110995, -0.4378304
-0.11640924, 0.18595599, -0.4314886
-0.042228073, 0.15180764, -0.43539125
-0.013201991, 0.15912516, -0.424415
-0.0646989, 0.17595543, -0.43124464
-0.13107473, 0.19595654, -0.47347274
-0.1161653, 0.19693229, -0.4681066
-0.033690993, 0.1908343, -0.47200927
0.0036587499, 0.19351743, -0.48176593
-0.05881441, 0.21940303, -0.49005908
-0.12522072, 0.24013597, -0.5090846
-0.08470006, 0.21013421, -0.51006025
-0.013445905, 0.17473578, -0.5183839
-0.009787155, 0.1447036, -0.5183839
-0.08909056, 0.16229612, -0.52643317
-0.12644029, 0.18668772, -0.50079143
-0.06299148, 0.19717619, -0.46420392
2.4391727E-4, 0.20501198, -0.441977
-0.031251825, 0.21306123, -0.42661023
-0.121074125, 0.23745294, -0.43709868
-0.12644029, 0.2298915, -0.44587967
-0.036617987, 0.2076951, -0.4622526
0.034148335, 0.17863846, -0.47737542
-0.0036892388, 0.15863734, -0.47761932
-0.09738374, 0.16254002, -0.52179873
-0.12009848, 0.15839344, -0.5149386
-0.0822609, 0.16766226, -0.49835226
-0.063967146, 0.17912628, -0.48396116
-0.0910419, 0.19766401, -0.49103475
-0.0851879, 0.21476862, -0.49005908
-0.006128405, 0.21720782, -0.47225317
0.04853942, 0.22891586, -0.46883833
0.011220166, 0.23159887, -0.46396002
-0.07762648, 0.22428145, -0.5032306
-0.10835998, 0.19595654, -0.5183839
-0.05881441, 0.16766226, -0.5124994
-0.02198299, 0.1686379, -0.50688934
-0.059302237, 0.18473643, -0.48298553
-0.121074125, 0.20720726, -0.48518077
-0.075675145, 0.17815064, -0.4724971
0.010732334, 0.13933745, -0.47005793
0.029757833, 0.11958016, -0.47005793
-0.060033992, 0.15473467, -0.47225317
-0.13400172, 0.2235496, -0.44417223
-0.08835881, 0.26163116, -0.4173414
0.013903251, 0.26894867, -0.45124584
0.043173254, 0.26089942, -0.48176593
-0.046130743, 0.26772904, -0.5144507
-0.109823495, 0.23720902, -0.54960525
-0.0646989, 0.18254113, -0.5825645
0.0043905, 0.15449075, -0.59280896
-0.03295924, 0.17400405, -0.55350786
-0.12692814, 0.2233057, -0.56570375
-0.12034239, 0.23355027, -0.5481417
-0.018812073, 0.22525708, -0.5127433
0.03000175, 0.2211105, -0.46078905
-0.03320316, 0.23037931, -0.4446601
-0.09396889, 0.2320867, -0.47713152
-0.052960407, 0.20647544, -0.5088407
0.014635001, 0.19644445, -0.5222866
0.008537085, 0.20598762, -0.487376
-0.050765157, 0.22037877, -0.510792
-0.06421106, 0.21110995, -0.5376533
-0.020275572, 0.19717619, -0.5508248
4.8783302E-4, 0.20696336, -0.5505809
-0.039788906, 0.21550044, -0.5510687
-0.087139234, 0.23086715, -0.5644842
-0.042228073, 0.21428078, -0.5320433
0.036587503, 0.21110995, -0.51030415
0.063448824, 0.20306069, -0.4742045
0.0065857507, 0.20891465, -0.47103357
-0.052228656, 0.20525588, -0.47908285
-0.059546154, 0.18985866, -0.47396055
-0.035642326, 0.17912628, -0.4812781
-0.052472573, 0.17815064, -0.47664368
-0.10835998, 0.20452414, -0.48713204
-0.099822894, 0.21110995, -0.47835106
-0.022958657, 0.2076951, -0.50249887
0.04561242, 0.20379241, -0.5339946
0.002927001, 0.225501, -0.5257014
